Data,Valor,Identificador,Descrição
01/08/2026,-60.00,ID-103047C13C2E75D4,Transferência enviada pelo Pix
01/08/2026,-7.00,ID-3F729AE05AF9233A,Transferência enviada pelo Pix
01/08/2026,7.00,ID-3F729AE05AF9233A,Estorno - Transferência enviada pelo Pix
01/08/2026,-7.00,ID-78E87E3536EE660F,Transferência enviada pelo Pix
01/08/2026,7.00,ID-DCAD45264DBBB63A,Transferência recebida pelo Pix
02/08/2026,-55.55,ID-BB0837B409838C1F,Compra no débito
02/08/2026,-250.00,ID-C0BE7853E1D9A0A8,Pagamento de fatura
03/08/2026,8096.69,ID-CC494FBBF323B5E5,Transferência recebida pelo Pix
03/08/2026,-3733.17,ID-1BA2BD0586E07A5F,Aplicação RDB
03/08/2026,-3000.00,ID-96BFD7D46291ECCB,Aplicação RDB
03/08/2026,-820.27,ID-6212B26C32889F7B,Transferência enviada pelo Pix
03/08/2026,-356.11,ID-0CB8134A8AF22C50,Transferência enviada pelo Pix
03/08/2026,-220.55,ID-EC2C0FBD0C870C6D,Transferência enviada pelo Pix
03/08/2026,-119.98,ID-2DA547256EA2095D,Pagamento de fatura
03/08/2026,-26.00,ID-0D8EADC09EC33D23,Pagamento de fatura
03/08/2026,-19.00,ID-37A8487F86B22FCA,Pagamento de fatura
04/08/2026,-1000.00,ID-CDBE91650ED73917,Transferência enviada pelo Pix
04/08/2026,-450.00,ID-274E5865511C2D5C,Transferência enviada pelo Pix
04/08/2026,-7.00,ID-0E128FEF4BE255A4,Compra no débito
05/08/2026,-34.00,ID-417840371C8F6D4A,Compra no débito
05/08/2026,-656.61,ID-040DC9E30474BD2E,Transferência enviada pelo Pix
05/08/2026,-100.00,ID-A1940D053C0F3870,Pagamento de fatura
06/08/2026,-20.00,ID-E229B49221A2336D,Compra no débito
06/08/2026,-50.00,ID-9A8F7AF575948994,Pagamento de fatura
